# Emissions are 6% of H-1211 production,,,,
# Units: Gg/yr,,,,
Year,box_0,box_1,box_2,box_3
1963,0.045,0.00125,0.00125,0.0025
1964,0.09,0.0025,0.0025,0.005
1965,0.18,0.005,0.005,0.01
1966,0.27,0.0075,0.0075,0.015
1967,0.45,0.0125,0.0125,0.025
1968,0.63,0.0175,0.0175,0.035
1969,0.81,0.0225,0.0225,0.045
1970,1.134,0.0315,0.0315,0.063
1971,1.53,0.0425,0.0425,0.085
1972,1.98,0.055,0.055,0.11
1973,2.475,0.06875,0.06875,0.1375
1974,2.97,0.0825,0.0825,0.165
1975,2.475,0.06875,0.06875,0.1375
1976,2.97,0.0825,0.0825,0.165
1977,3.42,0.095,0.095,0.19
1978,3.9204,0.1089,0.1089,0.2178
1979,4.5,0.125,0.125,0.25
1980,5.274,0.1465,0.1465,0.293
1981,5.8914,0.16365,0.16365,0.3273
1982,6.5214,0.18115,0.18115,0.3623
1983,6.4026,0.17785,0.17785,0.3557
1984,7.2207,0.200575,0.200575,0.40115
1985,8.0451,0.223475,0.223475,0.44695
1986,10.3491,0.287475,0.287475,0.57495
1987,12.4767,0.346575,0.346575,0.69315
1988,13.8771,0.385475,0.385475,0.77095
1989,17.2278,0.47855,0.47855,0.9571
1990,20.4849,0.569025,0.569025,1.13805
1991,17.4024,0.4834,0.4834,0.9668
1992,17.3421,0.481725,0.481725,0.96345
1993,14.9202,0.41445,0.41445,0.8289
1994,13.4757,0.374325,0.374325,0.74865
1995,11.4057,0.316825,0.316825,0.63365
1996,9.4032,0.2612,0.2612,0.5224
1997,10.125,0.28125,0.28125,0.5625
1998,12.762,0.3545,0.3545,0.709
1999,10.9116,0.3031,0.3031,0.6062
2000,7.3575,0.204375,0.204375,0.40875
2001,5.6385,0.156625,0.156625,0.31325
2002,3.8502,0.10695,0.10695,0.2139
2003,3.2391,0.089975,0.089975,0.17995
2004,2.6586,0.07385,0.07385,0.1477
2005,2.1456,0.0596,0.0596,0.1192
2006,1.4112,0.0392,0.0392,0.0784
2007,0.1485,0.004125,0.004125,0.00825
2008,0.1485,0.004125,0.004125,0.00825
2009,0,0,0,0
2010,0,0,0,0
2011,0,0,0,0
2012,0,0,0,0
2013,0,0,0,0
2014,0,0,0,0
2015,0,0,0,0
2016,0,0,0,0
2017,0,0,0,0
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0