# Bottom Up emissions for H-1211 Volmer et al., 0.0 before 1963
# UNITS: Gg/yr
year,box_0,box_1,box_2,box_3
1900,0.0,0.0,0.0,0.0
1901,0.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,0.0
1903,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,0.0
1905,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0
1907,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,0.0
1909,0.0,0.0,0.0,0.0
1910,0.0,0.0,0.0,0.0
1911,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,0.0
1913,0.0,0.0,0.0,0.0
1914,0.0,0.0,0.0,0.0
1915,0.0,0.0,0.0,0.0
1916,0.0,0.0,0.0,0.0
1917,0.0,0.0,0.0,0.0
1918,0.0,0.0,0.0,0.0
1919,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.0,0.0
1921,0.0,0.0,0.0,0.0
1922,0.0,0.0,0.0,0.0
1923,0.0,0.0,0.0,0.0
1924,0.0,0.0,0.0,0.0
1925,0.0,0.0,0.0,0.0
1926,0.0,0.0,0.0,0.0
1927,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.0,0.0
1929,0.0,0.0,0.0,0.0
1930,0.0,0.0,0.0,0.0
1931,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.0
1933,0.0,0.0,0.0,0.0
1934,0.0,0.0,0.0,0.0
1935,0.0,0.0,0.0,0.0
1936,0.0,0.0,0.0,0.0
1937,0.0,0.0,0.0,0.0
1938,0.0,0.0,0.0,0.0
1939,0.0,0.0,0.0,0.0
1940,0.0,0.0,0.0,0.0
1941,0.0,0.0,0.0,0.0
1942,0.0,0.0,0.0,0.0
1943,0.0,0.0,0.0,0.0
1944,0.0,0.0,0.0,0.0
1945,0.0,0.0,0.0,0.0
1946,0.0,0.0,0.0,0.0
1947,0.0,0.0,0.0,0.0
1948,0.0,0.0,0.0,0.0
1949,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0
1963,0.009481999999999999,0.0008029999999999999,0.000396,0.000319
1964,0.02586,0.0021899999999999997,0.00108,0.0008699999999999999
1965,0.056892,0.004818,0.002376,0.0019140000000000001
1966,0.09740599999999999,0.008249,0.004068,0.0032770000000000004
1967,0.166366,0.014088999999999999,0.006948,0.0055969999999999995
1968,0.25429,0.021535,0.010620000000000001,0.008555
1969,0.358592,0.030368,0.014976,0.012064
1970,0.5059939999999999,0.042851,0.021131999999999998,0.017023
1971,0.699944,0.059276,0.029232,0.023548
1972,0.93958,0.07957,0.03924,0.03161
1973,1.22404,0.10365999999999999,0.05112,0.04118
1974,1.543842,0.130743,0.064476,0.051939
1975,1.8826080000000003,0.159432,0.078624,0.063336
1976,2.248958,0.190457,0.09392400000000001,0.075661
1977,2.654098,0.224767,0.11084400000000001,0.089291
1978,3.127336,0.264844,0.130608,0.10521199999999999
1979,3.6160900000000002,0.306235,0.15102000000000002,0.121655
1980,3.760906,0.318499,0.157068,0.126527
1981,3.424275,0.31239,0.14818499999999998,0.12015
1982,3.9275599999999997,0.390432,0.18127200000000002,0.14873599999999998
1983,4.447668,0.453736,0.20576399999999997,0.16883199999999998
1984,5.275593,0.558297,0.24464699999999998,0.19446300000000002
1985,6.280204,0.654808,0.290199,0.21578899999999998
1986,7.152939999999999,0.81871,0.361956,0.284394
1987,8.478525,1.0071459999999999,0.45218800000000003,0.33914099999999997
1988,10.073896000000001,1.1464239999999999,0.561016,0.41466400000000003
1989,10.624068,1.2972,0.622656,0.428076
1990,10.759203,1.3137,0.630576,0.433521
1991,9.831275999999999,1.2004,0.576192,0.39613200000000004
1992,8.580663000000001,1.0477,0.502896,0.34574099999999997
1993,8.467641,1.0339,0.49627200000000005,0.34118699999999996
1994,8.908263,1.0877,0.522096,0.358941
1995,9.144953999999998,1.1166,0.535968,0.368478
1996,9.204741,1.1239,0.5394720000000001,0.37088699999999997
1997,9.607689,1.1731,0.563088,0.387123
1998,9.360351,1.1429,0.548592,0.377157
1999,8.588034,1.0486,0.503328,0.346038
2000,8.004906,0.9774,0.46915200000000007,0.322542
2001,7.371,0.9,0.43200000000000005,0.297
2002,6.743646000000001,0.8234,0.395232,0.27172199999999996
2003,6.195735,0.7565,0.36312,0.24964499999999998
2004,5.43816,0.664,0.31872,0.21911999999999998
2005,4.589676,0.5604,0.268992,0.18493199999999999
2006,2.500407,0.3053,0.146544,0.100749
2007,2.326779,0.2841,0.13636800000000002,0.093753
2008,2.193282,0.2678,0.128544,0.088374
2009,2.0556900000000002,0.251,0.12047999999999999,0.08283
2010,1.927107,0.2353,0.112944,0.077649
2011,1.808352,0.2208,0.105984,0.072864
2012,1.696968,0.2072,0.09945599999999999,0.06837599999999999
2013,1.8525779999999998,0.2262,0.108576,0.074646
2014,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2015,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2016,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2017,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2018,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2019,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2020,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2021,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2022,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2023,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2024,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2025,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2026,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2027,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2028,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2029,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2030,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2031,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2032,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2033,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2034,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2035,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2036,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2037,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2038,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2039,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2040,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2041,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2042,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2043,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2044,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2045,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2046,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2047,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2048,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2049,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2050,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2051,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2052,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2053,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2054,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2055,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2056,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2057,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2058,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2059,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2060,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2061,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2062,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2063,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2064,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2065,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2066,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2067,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2068,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2069,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2070,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2071,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2072,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2073,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2074,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2075,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2076,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2077,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2078,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2079,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2080,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2081,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2082,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2083,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2084,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2085,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2086,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2087,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2088,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2089,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2090,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2091,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2092,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2093,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2094,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2095,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2096,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2097,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2098,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2099,1.7133479999999999,0.2092,0.10041599999999999,0.069036
2100,1.7133479999999999,0.2092,0.10041599999999999,0.069036
